time,stockX,stockY,stockZ
46.9,18.524351,-24.136305,22.346436
47.0,18.475689,-24.159248,22.34491
47.100002,18.42745,-24.182037,22.343414
47.2,18.379637,-24.20467,22.341951
47.3,18.332245,-24.22715,22.340517
47.4,18.285275,-24.249475,22.339113
47.5,18.238722,-24.271646,22.337736
47.600002,18.192587,-24.293663,22.336386
47.7,18.14687,-24.31553,22.33506
47.8,18.101562,-24.337246,22.33376
47.9,18.056664,-24.358812,22.332478
48.0,18.012173,-24.380226,22.331217
48.100002,17.968084,-24.401491,22.329975
48.2,17.924402,-24.42258,22.328714
48.3,17.881113,-24.443544,22.327497
48.4,17.838213,-24.464363,22.326296
48.5,17.795704,-24.485037,22.325106
48.600002,17.753576,-24.505568,22.323923
48.7,17.711826,-24.525957,22.322756
48.8,17.670454,-24.546207,22.32159
48.9,17.629448,-24.566319,22.320433
49.0,17.58881,-24.586296,22.319279
49.100002,17.548527,-24.606136,22.318129
49.2,17.5086,-24.625841,22.31698
49.3,17.469025,-24.64542,22.315834
49.4,17.429792,-24.66487,22.314686
49.5,17.390903,-24.68419,22.313534
49.600002,17.352348,-24.703388,22.312384
49.7,17.314123,-24.722462,22.311226
49.8,17.276226,-24.741413,22.310062
49.9,17.238647,-24.760248,22.308895
50.0,17.201385,-24.778961,22.30772
50.1,17.164434,-24.797564,22.306538
50.2,17.127783,-24.816053,22.305346
50.3,17.091438,-24.834433,22.304146
50.399998,17.055387,-24.852701,22.30293
50.5,17.019627,-24.870867,22.301708
50.6,16.98415,-24.88893,22.300472
50.7,16.94895,-24.90689,22.299221
50.8,16.914028,-24.92475,22.297958
50.899998,16.87938,-24.942516,22.296682
51.0,16.844988,-24.960186,22.295387
51.1,16.810854,-24.977774,22.294098
51.2,16.776976,-24.995264,22.292772
51.3,16.74335,-25.012665,22.291431
51.399998,16.70997,-25.029978,22.290073
51.5,16.676832,-25.047213,22.288694
51.6,16.64393,-25.064358,22.2873
51.7,16.61126,-25.08143,22.285887
51.8,16.578815,-25.098421,22.28445
51.899998,16.546598,-25.115337,22.282993
52.0,16.514597,-25.132181,22.281517
52.1,16.482817,-25.14895,22.280018
52.2,16.451239,-25.165651,22.278502
